max # buckets,actual # buckets,overall err,weighted res. consumption,latency (cycles),LUTs (%),FFs (%),BRAM (%),DSPs (%),maxres,(bucket type : per bucket err)
1,1,4099.982228,0.004227803,1,0.927884615,0.723557692,0.00,0.00,0.927885,(<class '__main__.CoarseGrainedSimpleBucket'> : 4099.982227994372) 
2,2,2259.401385,0.008455605,2,1.855769231,1.447115385,0.00,0.00,1.855769,(<class '__main__.CoarseGrainedSimpleBucket'> : 2999.973987557821) (<class '__main__.CoarseGrainedSimpleBucket'> : 1099.990495249021) 
3,3,1843.604758,0.012683408,3,2.783653846,2.170673077,0.00,0.00,2.783654,(<class '__main__.CoarseGrainedSimpleBucket'> : 2999.9609815905387) (<class '__main__.CoarseGrainedSimpleBucket'> : 1093.9858209625334) (<class '__main__.CoarseGrainedSimpleBucket'> : 5.999928452065863) 
4,4,1565.030661,0.016911211,4,3.711538462,2.894230769,0.00,0.00,3.711538,(<class '__main__.CoarseGrainedSimpleBucket'> : 2929.949189477969) (<class '__main__.CoarseGrainedSimpleBucket'> : 69.9987967526139) (<class '__main__.CoarseGrainedSimpleBucket'> : 1098.9810074872157) (<class '__main__.CoarseGrainedSimpleBucket'> : 0.9999913275372373) 
5,5,1126.099402,0.021139013,5,4.639423077,3.617788462,0.00,0.00,4.639423,(<class '__main__.CoarseGrainedSimpleBucket'> : 2185.952617341369) (<class '__main__.CoarseGrainedSimpleBucket'> : 813.9823644518198) (<class '__main__.CoarseGrainedSimpleBucket'> : 164.99645088784504) (<class '__main__.CoarseGrainedSimpleBucket'> : 933.979847495443) (<class '__main__.CoarseGrainedSimpleBucket'> : 0.9999891593627871) 
6,6,996.0677993,0.025366816,6,5.567307692,4.341346154,0.00,0.00,5.567308,(<class '__main__.CoarseGrainedSimpleBucket'> : 1141.9703026025788) (<class '__main__.CoarseGrainedSimpleBucket'> : 1857.9516752789816) (<class '__main__.CoarseGrainedSimpleBucket'> : 0.0) (<class '__main__.CoarseGrainedSimpleBucket'> : 1093.9716421101984) (<class '__main__.CoarseGrainedSimpleBucket'> : 4.9998829178434345) (<class '__main__.CoarseGrainedSimpleBucket'> : 0.9999869912776511) 
7,7,1006.856037,0.029594619,7,6.495192308,5.064903846,0.00,0.00,6.495192,(<class '__main__.CoarseGrainedSimpleBucket'> : 652.9801953573415) (<class '__main__.CoarseGrainedSimpleBucket'> : 2339.9289899889964) (<class '__main__.CoarseGrainedSimpleBucket'> : 6.999802698691593) (<class '__main__.CoarseGrainedSimpleBucket'> : 5.99983811184445) (<class '__main__.CoarseGrainedSimpleBucket'> : 1092.9669460052066) (<class '__main__.CoarseGrainedSimpleBucket'> : 0.0) (<class '__main__.CoarseGrainedSimpleBucket'> : 0.9999848230749959) 
8,8,940.5214054,0.033822421,8,7.423076923,5.788461538,0.00,0.00,7.423077,(<class '__main__.CoarseGrainedSimpleBucket'> : 422.9853446597488) (<class '__main__.CoarseGrainedSimpleBucket'> : 2506.9130524106254) (<class '__main__.CoarseGrainedSimpleBucket'> : 69.99759348454418) (<class '__main__.CoarseGrainedSimpleBucket'> : 0.0) (<class '__main__.CoarseGrainedSimpleBucket'> : 502.9826159871647) (<class '__main__.CoarseGrainedSimpleBucket'> : 595.9795276030504) (<class '__main__.CoarseGrainedSimpleBucket'> : 0.0) (<class '__main__.CoarseGrainedSimpleBucket'> : 0.9999826549992615) 
9,9,868.4004538,0.038050224,9,8.350961538,6.512019231,0.00,0.00,8.350962,(<class '__main__.CoarseGrainedSimpleBucket'> : 253.99010766023954) (<class '__main__.CoarseGrainedSimpleBucket'> : 2309.909871932956) (<class '__main__.CoarseGrainedSimpleBucket'> : 435.98300782207644) (<class '__main__.CoarseGrainedSimpleBucket'> : 0.0) (<class '__main__.CoarseGrainedSimpleBucket'> : 0.0) (<class '__main__.CoarseGrainedSimpleBucket'> : 1093.9574628896346) (<class '__main__.CoarseGrainedSimpleBucket'> : 4.999824380306344) (<class '__main__.CoarseGrainedSimpleBucket'> : 0.0) (<class '__main__.CoarseGrainedSimpleBucket'> : 0.9999804868530153) 
10,10,753.145707,0.042278027,10,9.278846154,7.235576923,0.00,0.00,9.278846,(<class '__main__.CoarseGrainedSimpleBucket'> : 163.99291052656693) (<class '__main__.CoarseGrainedSimpleBucket'> : 2021.9123474365376) (<class '__main__.CoarseGrainedSimpleBucket'> : 810.9648593899617) (<class '__main__.CoarseGrainedSimpleBucket'> : 2.9998915946071576) (<class '__main__.CoarseGrainedSimpleBucket'> : 0.0) (<class '__main__.CoarseGrainedSimpleBucket'> : 164.99290154544022) (<class '__main__.CoarseGrainedSimpleBucket'> : 933.9596936821391) (<class '__main__.CoarseGrainedSimpleBucket'> : 0.0) (<class '__main__.CoarseGrainedSimpleBucket'> : 0.0) (<class '__main__.CoarseGrainedSimpleBucket'> : 0.9999783190781246) 
11,11,694.9148933,0.046505829,11,10.20673077,7.959134615,0.00,0.00,10.206731,(<class '__main__.CoarseGrainedSimpleBucket'> : 110.9947291856142) (<class '__main__.CoarseGrainedSimpleBucket'> : 1564.925378357794) (<class '__main__.CoarseGrainedSimpleBucket'> : 1315.9372561786154) (<class '__main__.CoarseGrainedSimpleBucket'> : 7.999642252912106) (<class '__main__.CoarseGrainedSimpleBucket'> : 0.0) (<class '__main__.CoarseGrainedSimpleBucket'> : 0.0) (<class '__main__.CoarseGrainedSimpleBucket'> : 1056.9497805647256) (<class '__main__.CoarseGrainedSimpleBucket'> : 41.99802046372486) (<class '__main__.CoarseGrainedSimpleBucket'> : 0.0) (<class '__main__.CoarseGrainedSimpleBucket'> : 0.0) (<class '__main__.CoarseGrainedSimpleBucket'> : 0.9999761504430021) 
12,12,671.7192239,0.050733632,12,11.13461538,8.682692308,0.00,0.00,11.134615,(<class '__main__.CoarseGrainedSimpleBucket'> : 88.99539482309753) (<class '__main__.CoarseGrainedSimpleBucket'> : 1052.945235917222) (<class '__main__.CoarseGrainedSimpleBucket'> : 1787.9069917870702) (<class '__main__.CoarseGrainedSimpleBucket'> : 69.99639019578976) (<class '__main__.CoarseGrainedSimpleBucket'> : 0.0) (<class '__main__.CoarseGrainedSimpleBucket'> : 0.0) (<class '__main__.CoarseGrainedSimpleBucket'> : 47.99754564093184) (<class '__main__.CoarseGrainedSimpleBucket'> : 1045.9457888905858) (<class '__main__.CoarseGrainedSimpleBucket'> : 4.999765839037626) (<class '__main__.CoarseGrainedSimpleBucket'> : 0.0) (<class '__main__.CoarseGrainedSimpleBucket'> : 0.0) (<class '__main__.CoarseGrainedSimpleBucket'> : 0.9999739823860709) 
13,13,610.4707704,0.054961435,13,12.0625,9.40625,0.00,0.00,12.062500,(<class '__main__.CoarseGrainedSimpleBucket'> : 76.99568759062777) (<class '__main__.CoarseGrainedSimpleBucket'> : 754.9574708599256) (<class '__main__.CoarseGrainedSimpleBucket'> : 1860.8951275103825) (<class '__main__.CoarseGrainedSimpleBucket'> : 304.98284138623694) (<class '__main__.CoarseGrainedSimpleBucket'> : 1.9999154435338589) (<class '__main__.CoarseGrainedSimpleBucket'> : 0.0) (<class '__main__.CoarseGrainedSimpleBucket'> : 0.0) (<class '__main__.CoarseGrainedSimpleBucket'> : 315.9822698487776) (<class '__main__.CoarseGrainedSimpleBucket'> : 782.9561439540013) (<class '__main__.CoarseGrainedSimpleBucket'> : 0.0) (<class '__main__.CoarseGrainedSimpleBucket'> : 0.0) (<class '__main__.CoarseGrainedSimpleBucket'> : 0.0) (<class '__main__.CoarseGrainedSimpleBucket'> : 0.9999718147098973) 
14,14,596.9783043,0.059189238,14,12.99038462,10.12980769,0.00,0.00,12.990385,(<class '__main__.CoarseGrainedSimpleBucket'> : 56.996570041887544) (<class '__main__.CoarseGrainedSimpleBucket'> : 595.9638518956874) (<class '__main__.CoarseGrainedSimpleBucket'> : 1784.8916748704028) (<class '__main__.CoarseGrainedSimpleBucket'> : 554.9663438528914) (<class '__main__.CoarseGrainedSimpleBucket'> : 6.999605403799518) (<class '__main__.CoarseGrainedSimpleBucket'> : 0.0) (<class '__main__.CoarseGrainedSimpleBucket'> : 0.0) (<class '__main__.CoarseGrainedSimpleBucket'> : 5.999676209492223) (<class '__main__.CoarseGrainedSimpleBucket'> : 1065.9355336619865) (<class '__main__.CoarseGrainedSimpleBucket'> : 26.99839116139229) (<class '__main__.CoarseGrainedSimpleBucket'> : 0.0) (<class '__main__.CoarseGrainedSimpleBucket'> : 0.0) (<class '__main__.CoarseGrainedSimpleBucket'> : 0.0) (<class '__main__.CoarseGrainedSimpleBucket'> : 0.999969646840988) 
15,15,549.05086,0.06341704,15,13.91826923,10.85336538,0.00,0.00,13.918269,(<class '__main__.CoarseGrainedSimpleBucket'> : 49.996780384145616) (<class '__main__.CoarseGrainedSimpleBucket'> : 476.9690099868176) (<class '__main__.CoarseGrainedSimpleBucket'> : 1658.8921337490976) (<class '__main__.CoarseGrainedSimpleBucket'> : 805.9476149128676) (<class '__main__.CoarseGrainedSimpleBucket'> : 7.999512148517799) (<class '__main__.CoarseGrainedSimpleBucket'> : 0.0) (<class '__main__.CoarseGrainedSimpleBucket'> : 0.0) (<class '__main__.CoarseGrainedSimpleBucket'> : 0.0) (<class '__main__.CoarseGrainedSimpleBucket'> : 164.98935220363464) (<class '__main__.CoarseGrainedSimpleBucket'> : 928.9398665119076) (<class '__main__.CoarseGrainedSimpleBucket'> : 4.999707289467699) (<class '__main__.CoarseGrainedSimpleBucket'> : 0.0) (<class '__main__.CoarseGrainedSimpleBucket'> : 0.0) (<class '__main__.CoarseGrainedSimpleBucket'> : 0.0) (<class '__main__.CoarseGrainedSimpleBucket'> : 0.9999674791459938) 
16,16,499.9928562,0.067644843,16,14.84615385,11.57692308,0.00,0.00,14.846154,(<class '__main__.CoarseGrainedSimpleBucket'> : 44.99691261783049) (<class '__main__.CoarseGrainedSimpleBucket'> : 377.9738122139922) (<class '__main__.CoarseGrainedSimpleBucket'> : 1476.8975688310966) (<class '__main__.CoarseGrainedSimpleBucket'> : 1029.9285809130656) (<class '__main__.CoarseGrainedSimpleBucket'> : 68.99525656199893) (<class '__main__.CoarseGrainedSimpleBucket'> : 0.9999653109010389) (<class '__main__.CoarseGrainedSimpleBucket'> : 0.0) (<class '__main__.CoarseGrainedSimpleBucket'> : 0.0) (<class '__main__.CoarseGrainedSimpleBucket'> : 0.0) (<class '__main__.CoarseGrainedSimpleBucket'> : 502.96523016728804) (<class '__main__.CoarseGrainedSimpleBucket'> : 595.9590530823475) (<class '__main__.CoarseGrainedSimpleBucket'> : 0.0) (<class '__main__.CoarseGrainedSimpleBucket'> : 0.0) (<class '__main__.CoarseGrainedSimpleBucket'> : 0.0) (<class '__main__.CoarseGrainedSimpleBucket'> : 0.0) (<class '__main__.CoarseGrainedSimpleBucket'> : 0.9999653109010389) 
17,17,490.3975867,0.071872646,17,15.77403846,12.30048077,0.00,0.00,15.774038,(<class '__main__.CoarseGrainedSimpleBucket'> : 38.99716191943842) (<class '__main__.CoarseGrainedSimpleBucket'> : 299.9779243929491) (<class '__main__.CoarseGrainedSimpleBucket'> : 1113.9179235914576) (<class '__main__.CoarseGrainedSimpleBucket'> : 1290.9048771930425) (<class '__main__.CoarseGrainedSimpleBucket'> : 249.9816171923447) (<class '__main__.CoarseGrainedSimpleBucket'> : 5.9995945609735735) (<class '__main__.CoarseGrainedSimpleBucket'> : 0.0) (<class '__main__.CoarseGrainedSimpleBucket'> : 0.0) (<class '__main__.CoarseGrainedSimpleBucket'> : 0.0) (<class '__main__.CoarseGrainedSimpleBucket'> : 67.99505088123736) (<class '__main__.CoarseGrainedSimpleBucket'> : 1010.9257854819531) (<class '__main__.CoarseGrainedSimpleBucket'> : 19.998562425297248) (<class '__main__.CoarseGrainedSimpleBucket'> : 0.0) (<class '__main__.CoarseGrainedSimpleBucket'> : 0.0) (<class '__main__.CoarseGrainedSimpleBucket'> : 0.0) (<class '__main__.CoarseGrainedSimpleBucket'> : 0.0) (<class '__main__.CoarseGrainedSimpleBucket'> : 0.999963142472759) 
18,18,460.3018376,0.076100448,18,16.70192308,13.02403846,0.00,0.00,16.701923,(<class '__main__.CoarseGrainedSimpleBucket'> : 34.99730710839354) (<class '__main__.CoarseGrainedSimpleBucket'> : 218.98294715040882) (<class '__main__.CoarseGrainedSimpleBucket'> : 887.9307323673172) (<class '__main__.CoarseGrainedSimpleBucket'> : 1421.8890543318062) (<class '__main__.CoarseGrainedSimpleBucket'> : 427.96663956808976) (<class '__main__.CoarseGrainedSimpleBucket'> : 7.999414589882842) (<class '__main__.CoarseGrainedSimpleBucket'> : 0.0) (<class '__main__.CoarseGrainedSimpleBucket'> : 0.0) (<class '__main__.CoarseGrainedSimpleBucket'> : 0.0) (<class '__main__.CoarseGrainedSimpleBucket'> : 0.0) (<class '__main__.CoarseGrainedSimpleBucket'> : 252.98035100083766) (<class '__main__.CoarseGrainedSimpleBucket'> : 840.9347373704994) (<class '__main__.CoarseGrainedSimpleBucket'> : 4.999648754443799) (<class '__main__.CoarseGrainedSimpleBucket'> : 0.0) (<class '__main__.CoarseGrainedSimpleBucket'> : 0.0) (<class '__main__.CoarseGrainedSimpleBucket'> : 0.0) (<class '__main__.CoarseGrainedSimpleBucket'> : 0.0) (<class '__main__.CoarseGrainedSimpleBucket'> : 0.9999609733252529) 
19,19,452.8298707,0.080328251,19,17.62980769,13.74759615,0.00,0.00,17.629808,(<class '__main__.CoarseGrainedSimpleBucket'> : 31.997404739050356) (<class '__main__.CoarseGrainedSimpleBucket'> : 159.98685993991973) (<class '__main__.CoarseGrainedSimpleBucket'> : 728.9399846032611) (<class '__main__.CoarseGrainedSimpleBucket'> : 1449.8805870113993) (<class '__main__.CoarseGrainedSimpleBucket'> : 617.9491326146988) (<class '__main__.CoarseGrainedSimpleBucket'> : 10.999134914079901) (<class '__main__.CoarseGrainedSimpleBucket'> : 0.0) (<class '__main__.CoarseGrainedSimpleBucket'> : 0.0) (<class '__main__.CoarseGrainedSimpleBucket'> : 0.0) (<class '__main__.CoarseGrainedSimpleBucket'> : 0.0) (<class '__main__.CoarseGrainedSimpleBucket'> : 30.99751370657741) (<class '__main__.CoarseGrainedSimpleBucket'> : 909.9253489856756) (<class '__main__.CoarseGrainedSimpleBucket'> : 157.98738298620356) (<class '__main__.CoarseGrainedSimpleBucket'> : 0.0) (<class '__main__.CoarseGrainedSimpleBucket'> : 0.0) (<class '__main__.CoarseGrainedSimpleBucket'> : 0.0) (<class '__main__.CoarseGrainedSimpleBucket'> : 0.0) (<class '__main__.CoarseGrainedSimpleBucket'> : 0.0) (<class '__main__.CoarseGrainedSimpleBucket'> : 0.9999588062037682) 
20,20,438.2001907,0.084556054,20,18.55769231,14.47115385,0.00,0.00,18.557692,(<class '__main__.CoarseGrainedSimpleBucket'> : 31.997268116845362) (<class '__main__.CoarseGrainedSimpleBucket'> : 131.98859612310287) (<class '__main__.CoarseGrainedSimpleBucket'> : 596.9482728697508) (<class '__main__.CoarseGrainedSimpleBucket'> : 1424.8764682552412) (<class '__main__.CoarseGrainedSimpleBucket'> : 743.9355277026349) (<class '__main__.CoarseGrainedSimpleBucket'> : 66.99424433940261) (<class '__main__.CoarseGrainedSimpleBucket'> : 2.999783185296789) (<class '__main__.CoarseGrainedSimpleBucket'> : 0.0) (<class '__main__.CoarseGrainedSimpleBucket'> : 0.0) (<class '__main__.CoarseGrainedSimpleBucket'> : 0.0) (<class '__main__.CoarseGrainedSimpleBucket'> : 0.0) (<class '__main__.CoarseGrainedSimpleBucket'> : 164.98580340110922) (<class '__main__.CoarseGrainedSimpleBucket'> : 921.9204343718942) (<class '__main__.CoarseGrainedSimpleBucket'> : 11.99900264695879) (<class '__main__.CoarseGrainedSimpleBucket'> : 0.0) (<class '__main__.CoarseGrainedSimpleBucket'> : 0.0) (<class '__main__.CoarseGrainedSimpleBucket'> : 0.0) (<class '__main__.CoarseGrainedSimpleBucket'> : 0.0) (<class '__main__.CoarseGrainedSimpleBucket'> : 0.0) (<class '__main__.CoarseGrainedSimpleBucket'> : 0.9999566376861665) 
21,21,402.6266607,0.088783856,21,19.48557692,15.19471154,0.00,0.00,19.485577,(<class '__main__.CoarseGrainedSimpleBucket'> : 28.997404728162454) (<class '__main__.CoarseGrainedSimpleBucket'> : 106.99030187337253) (<class '__main__.CoarseGrainedSimpleBucket'> : 516.9529716387917) (<class '__main__.CoarseGrainedSimpleBucket'> : 1333.8785789480369) (<class '__main__.CoarseGrainedSimpleBucket'> : 805.9266584056077) (<class '__main__.CoarseGrainedSimpleBucket'> : 199.98184492356995) (<class '__main__.CoarseGrainedSimpleBucket'> : 6.999408097357169) (<class '__main__.CoarseGrainedSimpleBucket'> : 0.0) (<class '__main__.CoarseGrainedSimpleBucket'> : 0.0) (<class '__main__.CoarseGrainedSimpleBucket'> : 0.0) (<class '__main__.CoarseGrainedSimpleBucket'> : 0.0) (<class '__main__.CoarseGrainedSimpleBucket'> : 5.999514337170623) (<class '__main__.CoarseGrainedSimpleBucket'> : 364.9669033724504) (<class '__main__.CoarseGrainedSimpleBucket'> : 722.9346424279827) (<class '__main__.CoarseGrainedSimpleBucket'> : 4.999590184461838) (<class '__main__.CoarseGrainedSimpleBucket'> : 0.0) (<class '__main__.CoarseGrainedSimpleBucket'> : 0.0) (<class '__main__.CoarseGrainedSimpleBucket'> : 0.0) (<class '__main__.CoarseGrainedSimpleBucket'> : 0.0) (<class '__main__.CoarseGrainedSimpleBucket'> : 0.0) (<class '__main__.CoarseGrainedSimpleBucket'> : 0.9999544699159735) 
22,22,395.9430186,0.093011659,22,20.41346154,15.91826923,0.00,0.00,20.413462,(<class '__main__.CoarseGrainedSimpleBucket'> : 26.997471979332175) (<class '__main__.CoarseGrainedSimpleBucket'> : 83.99203434519625) (<class '__main__.CoarseGrainedSimpleBucket'> : 460.9560744017832) (<class '__main__.CoarseGrainedSimpleBucket'> : 1103.8947401146065) (<class '__main__.CoarseGrainedSimpleBucket'> : 954.9089537686821) (<class '__main__.CoarseGrainedSimpleBucket'> : 360.9656193933854) (<class '__main__.CoarseGrainedSimpleBucket'> : 7.999284523953602) (<class '__main__.CoarseGrainedSimpleBucket'> : 0.0) (<class '__main__.CoarseGrainedSimpleBucket'> : 0.0) (<class '__main__.CoarseGrainedSimpleBucket'> : 0.0) (<class '__main__.CoarseGrainedSimpleBucket'> : 0.0) (<class '__main__.CoarseGrainedSimpleBucket'> : 0.0) (<class '__main__.CoarseGrainedSimpleBucket'> : 76.99273612335355) (<class '__main__.CoarseGrainedSimpleBucket'> : 979.9069250491121) (<class '__main__.CoarseGrainedSimpleBucket'> : 40.996136051468845) (<class '__main__.CoarseGrainedSimpleBucket'> : 0.9999522980418074) (<class '__main__.CoarseGrainedSimpleBucket'> : 0.0) (<class '__main__.CoarseGrainedSimpleBucket'> : 0.0) (<class '__main__.CoarseGrainedSimpleBucket'> : 0.0) (<class '__main__.CoarseGrainedSimpleBucket'> : 0.0) (<class '__main__.CoarseGrainedSimpleBucket'> : 0.0) (<class '__main__.CoarseGrainedSimpleBucket'> : 0.999952302592327) 
