max # buckets,actual # buckets,ground truth split strategy,algorithm_[first solution construction],overall err,weighted res. consumption,latency (cycles),LUTs (%),FFs (%),BRAM (%),DSPs (%),(bucket type : per bucket err)
13,13,depth-count,greedy_min_error_histogram,5519.776361,0.203405216,40,99.98076923,20.97596154,99,100,(<class '__main__.FineGrainedBucket'> : 3.003394731915795) (<class '__main__.FineGrainedBucket'> : 4.371255417846726) (<class '__main__.FineGrainedBucket'> : 2.1602130317405814) (<class '__main__.CoarseGrainedBloomBucket'> : 12.988451432526018) (<class '__main__.FineGrainedBucket'> : 8.516267372086618) (<class '__main__.FineGrainedBucket'> : 2.6165544473220494) (<class '__main__.FineGrainedBucket'> : 2.343736187156324) (<class '__main__.CoarseGrainedBloomBucket'> : 13.990271545949978) (<class '__main__.FineGrainedBucket'> : 141.78115011009513) (<class '__main__.FineGrainedBucket'> : 3.154877857936886) (<class '__main__.FineGrainedBucket'> : 6.492093233753997) (<class '__main__.CoarseGrainedDistinctBucket'> : 15.991993997353097) (<class '__main__.CoarseGrainedSimpleBucket'> : 8614.997531350717) 
13,13,depth-count,greedy_avg_res_histogram,7.535227014,0.159583405,49,68.91346154,18.83894231,70,33.33333333,(<class '__main__.FineGrainedBucket'> : 8.61708464011408) (<class '__main__.FineGrainedBucket'> : 9.199011166274474) (<class '__main__.FineGrainedBucket'> : 6.474709882331509) (<class '__main__.CoarseGrainedBloomBucket'> : 12.988451432526018) (<class '__main__.FineGrainedBucket'> : 8.516267372086618) (<class '__main__.FineGrainedBucket'> : 6.929016339856391) (<class '__main__.FineGrainedBucket'> : 2.343736187156324) (<class '__main__.FineGrainedBucket'> : 2.829311575959564) (<class '__main__.FineGrainedBucket'> : 9.222927706125498) (<class '__main__.FineGrainedBucket'> : 6.463057155571529) (<class '__main__.FineGrainedBucket'> : 6.492093233753997) (<class '__main__.FineGrainedBucket'> : 7.325060504682424) (<class '__main__.FineGrainedBucket'> : 6.472195803617274) 
13,13,depth-count,simulated_annealing_histogram_middle,7.957467002,0.197629187,46,95.45192308,20.80288462,99,66.66666667,(<class '__main__.FineGrainedBucket'> : 8.61708464011408) (<class '__main__.FineGrainedBucket'> : 4.371255417846726) (<class '__main__.FineGrainedBucket'> : 6.474709882331509) (<class '__main__.FineGrainedBucket'> : 14.503013557692931) (<class '__main__.FineGrainedBucket'> : 8.516267372086618) (<class '__main__.FineGrainedBucket'> : 6.929016339856391) (<class '__main__.FineGrainedBucket'> : 2.343736187156324) (<class '__main__.FineGrainedBucket'> : 2.829311575959564) (<class '__main__.FineGrainedBucket'> : 2.3991641136814974) (<class '__main__.FineGrainedBucket'> : 3.154877857936886) (<class '__main__.CoarseGrainedBloomBucket'> : 12.840391456633302) (<class '__main__.CoarseGrainedBloomBucket'> : 12.992213418730817) (<class '__main__.FineGrainedBucket'> : 6.472195803617274) 
13,13,depth-count,simulated_annealing_histogram_last,6.988893361,0.197629187,46,95.45192308,20.80288462,99,66.66666667,(<class '__main__.CoarseGrainedBloomBucket'> : 12.957143435060473) (<class '__main__.CoarseGrainedBloomBucket'> : 12.847733693284955) (<class '__main__.FineGrainedBucket'> : 2.1602130317405814) (<class '__main__.FineGrainedBucket'> : 14.503013557692931) (<class '__main__.FineGrainedBucket'> : 8.516267372086618) (<class '__main__.FineGrainedBucket'> : 6.929016339856391) (<class '__main__.FineGrainedBucket'> : 2.343736187156324) (<class '__main__.FineGrainedBucket'> : 2.829311575959564) (<class '__main__.FineGrainedBucket'> : 2.3991641136814974) (<class '__main__.FineGrainedBucket'> : 3.154877857936886) (<class '__main__.FineGrainedBucket'> : 6.492093233753997) (<class '__main__.FineGrainedBucket'> : 7.325060504682424) (<class '__main__.FineGrainedBucket'> : 6.472195803617274) 
13,13,depth-distinct,greedy_min_error_histogram,1987.310911,0.203405216,40,99.98076923,20.97596154,99,100,(<class '__main__.FineGrainedBucket'> : 2.187741834663719) (<class '__main__.FineGrainedBucket'> : 5.423255012688603) (<class '__main__.FineGrainedBucket'> : 1.729307772770355) (<class '__main__.FineGrainedBucket'> : 3.7579446705406867) (<class '__main__.FineGrainedBucket'> : 3.0217544546203876) (<class '__main__.FineGrainedBucket'> : 3.4271555648547714) (<class '__main__.FineGrainedBucket'> : 6.881150209061134) (<class '__main__.FineGrainedBucket'> : 87.10912848859482) (<class '__main__.FineGrainedBucket'> : 9.916172392557707) (<class '__main__.CoarseGrainedBloomBucket'> : 20.977726552693806) (<class '__main__.CoarseGrainedDistinctBucket'> : 8.99555607822025) (<class '__main__.CoarseGrainedBloomBucket'> : 4.9951834868606975) (<class '__main__.CoarseGrainedSimpleBucket'> : 3688.9985045098847) 
13,13,depth-distinct,greedy_avg_res_histogram,6.353962356,0.121537835,52,42.375,16.875,74,0,(<class '__main__.FineGrainedBucket'> : 7.043679582649495) (<class '__main__.FineGrainedBucket'> : 17.642836741714827) (<class '__main__.FineGrainedBucket'> : 5.696970021153648) (<class '__main__.FineGrainedBucket'> : 3.7579446705406867) (<class '__main__.FineGrainedBucket'> : 11.070058659205744) (<class '__main__.FineGrainedBucket'> : 11.865712661489107) (<class '__main__.FineGrainedBucket'> : 6.881150209061134) (<class '__main__.FineGrainedBucket'> : 5.497894074686642) (<class '__main__.FineGrainedBucket'> : 9.916172392557707) (<class '__main__.FineGrainedBucket'> : 9.587715256055795) (<class '__main__.FineGrainedBucket'> : 0.9856550565198194) (<class '__main__.FineGrainedBucket'> : 3.0343302136836847) (<class '__main__.FineGrainedBucket'> : 3.0913480711438277) 
13,13,depth-distinct,simulated_annealing_histogram_last,5.937230211,0.170480844,46,75.77403846,19.58653846,99,66.66666667,(<class '__main__.FineGrainedBucket'> : 7.043679582649495) (<class '__main__.FineGrainedBucket'> : 5.423255012688603) (<class '__main__.FineGrainedBucket'> : 5.696970021153648) (<class '__main__.FineGrainedBucket'> : 3.7579446705406867) (<class '__main__.FineGrainedBucket'> : 3.0217544546203876) (<class '__main__.CoarseGrainedBloomBucket'> : 19.962007404024096) (<class '__main__.FineGrainedBucket'> : 6.881150209061134) (<class '__main__.FineGrainedBucket'> : 1.4841087265305601) (<class '__main__.FineGrainedBucket'> : 3.516037856561848) (<class '__main__.FineGrainedBucket'> : 9.587715256055795) (<class '__main__.FineGrainedBucket'> : 3.259400140520247) (<class '__main__.CoarseGrainedDistinctBucket'> : 6.995020224699168) (<class '__main__.FineGrainedBucket'> : 3.0913480711438277) 
13,13,width,greedy_min_error_histogram,256.5058648,0.203405216,40,99.98076923,20.97596154,99,100,(<class '__main__.FineGrainedBucket'> : 38.658793662382315) (<class '__main__.CoarseGrainedBloomBucket'> : 22.98058512566611) (<class '__main__.CoarseGrainedBloomBucket'> : 36.96607467008994) (<class '__main__.CoarseGrainedDistinctBucket'> : 2.997447711849336) (<class '__main__.FineGrainedBucket'> : 42.63002262425569) (<class '__main__.FineGrainedBucket'> : 4.959391722088655) (<class '__main__.FineGrainedBucket'> : 3.7318380832272786) (<class '__main__.FineGrainedBucket'> : 0.5718791784907519) (<class '__main__.FineGrainedBucket'> : 0.9251235201974961) (<class '__main__.FineGrainedBucket'> : 0.45178790396556984) (<class '__main__.FineGrainedBucket'> : 0.4411305158965207) (<class '__main__.FineGrainedBucket'> : 0.8656675423513475) (<class '__main__.CoarseGrainedSimpleBucket'> : 921.9985908482365) 
13,13,width,greedy_avg_res_histogram,14.34126415,0.159583405,49,68.91346154,18.83894231,70,33.33333333,(<class '__main__.FineGrainedBucket'> : 38.658793662382315) (<class '__main__.CoarseGrainedBloomBucket'> : 22.98058512566611) (<class '__main__.FineGrainedBucket'> : 5.934828823779915) (<class '__main__.FineGrainedBucket'> : 1.9727096404913147) (<class '__main__.FineGrainedBucket'> : 2.744012881118713) (<class '__main__.FineGrainedBucket'> : 19.50884721679609) (<class '__main__.FineGrainedBucket'> : 14.427971004956207) (<class '__main__.FineGrainedBucket'> : 1.396688413548734) (<class '__main__.FineGrainedBucket'> : 3.3573251807622118) (<class '__main__.FineGrainedBucket'> : 0.9122440687077659) (<class '__main__.FineGrainedBucket'> : 0.4411305158965207) (<class '__main__.FineGrainedBucket'> : 0.8656675423513475) (<class '__main__.FineGrainedBucket'> : 0.8484463149433311) 
13,13,width,simulated_annealing_histogram_last,7.507835414,0.197629187,46,95.45192308,20.80288462,99,66.66666667,(<class '__main__.FineGrainedBucket'> : 9.96013646688641) (<class '__main__.FineGrainedBucket'> : 6.231349270840551) (<class '__main__.FineGrainedBucket'> : 22.596863266860236) (<class '__main__.FineGrainedBucket'> : 1.9727096404913147) (<class '__main__.FineGrainedBucket'> : 0.8468777266907482) (<class '__main__.FineGrainedBucket'> : 4.959391722088655) (<class '__main__.FineGrainedBucket'> : 3.7318380832272786) (<class '__main__.FineGrainedBucket'> : 1.396688413548734) (<class '__main__.CoarseGrainedBloomBucket'> : 5.994247853264946) (<class '__main__.CoarseGrainedBloomBucket'> : 0.9279136461059739) (<class '__main__.FineGrainedBucket'> : 0.8848622984653863) (<class '__main__.FineGrainedBucket'> : 0.8656675423513475) (<class '__main__.FineGrainedBucket'> : 0.8484463149433311) 
14,14,depth-count,greedy_avg_res_histogram,7.317109473,0.130886888,56,45.63461538,18.17307692,78,0,(<class '__main__.FineGrainedBucket'> : 7.688369723591861) (<class '__main__.FineGrainedBucket'> : 9.658718949826412) (<class '__main__.FineGrainedBucket'> : 2.6401766909804865) (<class '__main__.FineGrainedBucket'> : 2.4290832119773427) (<class '__main__.FineGrainedBucket'> : 7.287799851453308) (<class '__main__.FineGrainedBucket'> : 10.335611148167951) (<class '__main__.FineGrainedBucket'> : 5.050003565926916) (<class '__main__.FineGrainedBucket'> : 8.426022372773486) (<class '__main__.FineGrainedBucket'> : 8.732201507527332) (<class '__main__.FineGrainedBucket'> : 5.190151879370813) (<class '__main__.FineGrainedBucket'> : 7.946808406984386) (<class '__main__.FineGrainedBucket'> : 6.19245886743204) (<class '__main__.FineGrainedBucket'> : 9.17898091480729) (<class '__main__.FineGrainedBucket'> : 6.553985224385421) 
14,14,depth-count,simulated_annealing_histogram_last,5.644641857,0.130887029,56,45.63461538,18.17307692,100,0,(<class '__main__.FineGrainedBucket'> : 7.688369723591861) (<class '__main__.FineGrainedBucket'> : 9.658718949826412) (<class '__main__.FineGrainedBucket'> : 7.794354029750574) (<class '__main__.FineGrainedBucket'> : 9.066325305418488) (<class '__main__.FineGrainedBucket'> : 7.287799851453308) (<class '__main__.FineGrainedBucket'> : 10.335611148167951) (<class '__main__.FineGrainedBucket'> : 5.050003565926916) (<class '__main__.FineGrainedBucket'> : 3.288448159138394) (<class '__main__.FineGrainedBucket'> : 8.732201507527332) (<class '__main__.FineGrainedBucket'> : 1.8667285856094948) (<class '__main__.FineGrainedBucket'> : 7.946808406984386) (<class '__main__.FineGrainedBucket'> : 6.19245886743204) (<class '__main__.FineGrainedBucket'> : 2.4036606529916242) (<class '__main__.FineGrainedBucket'> : 1.6960716989508478) 
14,14,depth-distinct,greedy_avg_res_histogram,6.518335129,0.130886888,56,45.63461538,18.17307692,78,0,(<class '__main__.FineGrainedBucket'> : 6.523618268102287) (<class '__main__.FineGrainedBucket'> : 18.670414105346158) (<class '__main__.FineGrainedBucket'> : 6.957255931972756) (<class '__main__.FineGrainedBucket'> : 2.287463430786273) (<class '__main__.FineGrainedBucket'> : 18.064055093962907) (<class '__main__.FineGrainedBucket'> : 11.980837257145206) (<class '__main__.FineGrainedBucket'> : 3.4086533048901266) (<class '__main__.FineGrainedBucket'> : 2.365941284995741) (<class '__main__.FineGrainedBucket'> : 4.820632219004917) (<class '__main__.FineGrainedBucket'> : 11.64039087383512) (<class '__main__.FineGrainedBucket'> : 8.173216487099038) (<class '__main__.FineGrainedBucket'> : 2.6500501034475756) (<class '__main__.FineGrainedBucket'> : 0.7750571116974084) (<class '__main__.FineGrainedBucket'> : 3.071140238166838) 
14,14,depth-distinct,simulated_annealing_histogram_middle,6.549039279,0.190727126,47,85.89423077,21.63221154,99,100,(<class '__main__.CoarseGrainedBloomBucket'> : 8.96145705842363) (<class '__main__.FineGrainedBucket'> : 5.727390620233542) (<class '__main__.FineGrainedBucket'> : 6.957255931972756) (<class '__main__.FineGrainedBucket'> : 2.287463430786273) (<class '__main__.CoarseGrainedDistinctBucket'> : 22.967744983008917) (<class '__main__.FineGrainedBucket'> : 3.369258274932937) (<class '__main__.FineGrainedBucket'> : 3.4086533048901266) (<class '__main__.FineGrainedBucket'> : 2.365941284995741) (<class '__main__.CoarseGrainedDistinctBucket'> : 9.993290613411451) (<class '__main__.FineGrainedBucket'> : 11.64039087383512) (<class '__main__.FineGrainedBucket'> : 2.9435830465857262) (<class '__main__.FineGrainedBucket'> : 2.6500501034475756) (<class '__main__.FineGrainedBucket'> : 0.7750571116974084) (<class '__main__.FineGrainedBucket'> : 3.071140238166838) 
14,14,depth-distinct,simulated_annealing_histogram_last,5.966089913,0.168932599,53,72.17307692,20.13701923,96,33.33333333,(<class '__main__.FineGrainedBucket'> : 6.523618268102287) (<class '__main__.FineGrainedBucket'> : 18.670414105346158) (<class '__main__.FineGrainedBucket'> : 6.957255931972756) (<class '__main__.FineGrainedBucket'> : 2.287463430786273) (<class '__main__.CoarseGrainedBloomBucket'> : 17.96990905174513) (<class '__main__.FineGrainedBucket'> : 3.369258274932937) (<class '__main__.FineGrainedBucket'> : 3.4086533048901266) (<class '__main__.FineGrainedBucket'> : 0.7499679625359287) (<class '__main__.FineGrainedBucket'> : 4.820632219004917) (<class '__main__.FineGrainedBucket'> : 11.64039087383512) (<class '__main__.FineGrainedBucket'> : 8.173216487099038) (<class '__main__.FineGrainedBucket'> : 2.6500501034475756) (<class '__main__.FineGrainedBucket'> : 2.6731820083030304) (<class '__main__.FineGrainedBucket'> : 0.8737055495122734) 
14,14,width,greedy_avg_res_histogram,14.24709897,0.168932459,53,72.17307692,20.13701923,74,33.33333333,(<class '__main__.FineGrainedBucket'> : 40.09534962734923) (<class '__main__.CoarseGrainedBloomBucket'> : 22.980086271979097) (<class '__main__.FineGrainedBucket'> : 6.1604804353001335) (<class '__main__.FineGrainedBucket'> : 3.022435036259398) (<class '__main__.FineGrainedBucket'> : 1.1326602127229646) (<class '__main__.FineGrainedBucket'> : 6.014394214430859) (<class '__main__.FineGrainedBucket'> : 24.177925654371613) (<class '__main__.FineGrainedBucket'> : 4.562080820735122) (<class '__main__.FineGrainedBucket'> : 2.3776465931621815) (<class '__main__.FineGrainedBucket'> : 2.815618523303674) (<class '__main__.FineGrainedBucket'> : 0.9099589778367412) (<class '__main__.FineGrainedBucket'> : 0.4391279383431027) (<class '__main__.FineGrainedBucket'> : 0.863961859541179) (<class '__main__.FineGrainedBucket'> : 0.8482344437269645) 
14,14,width,simulated_annealing_histogram_last,8.173831067,0.190727126,47,85.89423077,21.63221154,99,100,(<class '__main__.FineGrainedBucket'> : 10.329687023506088) (<class '__main__.FineGrainedBucket'> : 25.12311096730118) (<class '__main__.FineGrainedBucket'> : 6.1604804353001335) (<class '__main__.FineGrainedBucket'> : 0.8875153040094829) (<class '__main__.FineGrainedBucket'> : 1.1326602127229646) (<class '__main__.FineGrainedBucket'> : 6.014394214430859) (<class '__main__.FineGrainedBucket'> : 6.134902192498616) (<class '__main__.CoarseGrainedDistinctBucket'> : 7.993576243776182) (<class '__main__.CoarseGrainedDistinctBucket'> : 3.996483305786417) (<class '__main__.FineGrainedBucket'> : 0.806110510897718) (<class '__main__.FineGrainedBucket'> : 0.9099589778367412) (<class '__main__.FineGrainedBucket'> : 0.8808453345217985) (<class '__main__.CoarseGrainedBloomBucket'> : 0.9016850551415629) (<class '__main__.FineGrainedBucket'> : 0.8482344437269645) 
16,16,depth-count,greedy_avg_res_histogram,6.395109891,0.187630636,61,78.69230769,22.73317308,93,33.33333333,(<class '__main__.FineGrainedBucket'> : 2.1455057449071258) (<class '__main__.FineGrainedBucket'> : 9.786430428739626) (<class '__main__.FineGrainedBucket'> : 7.244340173886507) (<class '__main__.FineGrainedBucket'> : 2.097185402455712) (<class '__main__.FineGrainedBucket'> : 9.158818964626082) (<class '__main__.FineGrainedBucket'> : 10.504612370742231) (<class '__main__.FineGrainedBucket'> : 6.175540143176012) (<class '__main__.FineGrainedBucket'> : 4.468018209762808) (<class '__main__.FineGrainedBucket'> : 4.819229247831815) (<class '__main__.CoarseGrainedBloomBucket'> : 10.994919943961607) (<class '__main__.FineGrainedBucket'> : 5.674764256406008) (<class '__main__.FineGrainedBucket'> : 7.6032114674195945) (<class '__main__.FineGrainedBucket'> : 6.231172758040424) (<class '__main__.FineGrainedBucket'> : 5.979644468810396) (<class '__main__.FineGrainedBucket'> : 7.492588145762053) (<class '__main__.FineGrainedBucket'> : 1.5542459419565355) 
16,16,depth-count,simulated_annealing_histogram_last,5.784259888,0.198527934,58,85.55288462,23.48076923,100,66.66666667,(<class '__main__.FineGrainedBucket'> : 2.1455057449071258) (<class '__main__.CoarseGrainedDistinctBucket'> : 16.895184645597208) (<class '__main__.FineGrainedBucket'> : 7.244340173886507) (<class '__main__.FineGrainedBucket'> : 7.034318890106226) (<class '__main__.FineGrainedBucket'> : 9.158818964626082) (<class '__main__.FineGrainedBucket'> : 10.504612370742231) (<class '__main__.FineGrainedBucket'> : 6.175540143176012) (<class '__main__.FineGrainedBucket'> : 4.468018209762808) (<class '__main__.FineGrainedBucket'> : 4.819229247831815) (<class '__main__.FineGrainedBucket'> : 2.808934271260059) (<class '__main__.FineGrainedBucket'> : 1.5775455929919882) (<class '__main__.FineGrainedBucket'> : 7.6032114674195945) (<class '__main__.FineGrainedBucket'> : 6.231172758040424) (<class '__main__.FineGrainedBucket'> : 5.979644468810396) (<class '__main__.CoarseGrainedBloomBucket'> : 10.99458282981921) (<class '__main__.FineGrainedBucket'> : 1.5542459419565355) 
16,16,depth-distinct,greedy_avg_res_histogram,5.926220354,0.149584995,64,52.15384615,20.76923077,86,0,(<class '__main__.FineGrainedBucket'> : 3.2969329109372665) (<class '__main__.FineGrainedBucket'> : 20.426965448022578) (<class '__main__.FineGrainedBucket'> : 5.3330212934093115) (<class '__main__.FineGrainedBucket'> : 2.7743791199833514) (<class '__main__.FineGrainedBucket'> : 17.41569547236207) (<class '__main__.FineGrainedBucket'> : 2.4283861471581596) (<class '__main__.FineGrainedBucket'> : 6.596435808938568) (<class '__main__.FineGrainedBucket'> : 3.5193535151690165) (<class '__main__.FineGrainedBucket'> : 2.601094718543239) (<class '__main__.FineGrainedBucket'> : 3.8152969067455267) (<class '__main__.FineGrainedBucket'> : 8.882087019330232) (<class '__main__.FineGrainedBucket'> : 12.26810578071676) (<class '__main__.FineGrainedBucket'> : 1.4044151811765733) (<class '__main__.FineGrainedBucket'> : 2.4717380566664335) (<class '__main__.FineGrainedBucket'> : 2.1398769595925446) (<class '__main__.FineGrainedBucket'> : 1.5876414665293956) 
16,16,depth-distinct,simulated_annealing_histogram_last,5.679252064,0.198527934,58,85.55288462,23.48076923,100,66.66666667,(<class '__main__.FineGrainedBucket'> : 1.3478806297209545) (<class '__main__.FineGrainedBucket'> : 6.224079445066325) (<class '__main__.FineGrainedBucket'> : 5.3330212934093115) (<class '__main__.FineGrainedBucket'> : 2.7743791199833514) (<class '__main__.FineGrainedBucket'> : 17.41569547236207) (<class '__main__.FineGrainedBucket'> : 2.4283861471581596) (<class '__main__.FineGrainedBucket'> : 6.596435808938568) (<class '__main__.FineGrainedBucket'> : 3.5193535151690165) (<class '__main__.CoarseGrainedDistinctBucket'> : 4.996394121986776) (<class '__main__.FineGrainedBucket'> : 3.8152969067455267) (<class '__main__.FineGrainedBucket'> : 3.1527555870856774) (<class '__main__.FineGrainedBucket'> : 12.26810578071676) (<class '__main__.FineGrainedBucket'> : 4.867308752819449) (<class '__main__.FineGrainedBucket'> : 2.4717380566664335) (<class '__main__.FineGrainedBucket'> : 2.1398769595925446) (<class '__main__.CoarseGrainedBloomBucket'> : 3.9987108029896374) 
16,16,width,greedy_avg_res_histogram,14.92522062,0.187630636,61,78.69230769,22.73317308,93,33.33333333,(<class '__main__.FineGrainedBucket'> : 42.83390020904051) (<class '__main__.FineGrainedBucket'> : 26.69400449766298) (<class '__main__.FineGrainedBucket'> : 4.902269831830042) (<class '__main__.FineGrainedBucket'> : 17.254703920054208) (<class '__main__.FineGrainedBucket'> : 1.2032410881807614) (<class '__main__.CoarseGrainedBloomBucket'> : 0.9451459735432003) (<class '__main__.FineGrainedBucket'> : 2.1309254088801164) (<class '__main__.FineGrainedBucket'> : 25.41880305298063) (<class '__main__.FineGrainedBucket'> : 4.847293150747595) (<class '__main__.FineGrainedBucket'> : 1.761303919898989) (<class '__main__.FineGrainedBucket'> : 3.505929858737386) (<class '__main__.FineGrainedBucket'> : 0.45470463384413407) (<class '__main__.FineGrainedBucket'> : 0.8961268521021898) (<class '__main__.FineGrainedBucket'> : 0.8766023903752773) (<class '__main__.FineGrainedBucket'> : 0.8609646086824131) (<class '__main__.FineGrainedBucket'> : 0.8468866070509262) 
16,16,width,simulated_annealing_histogram_last,7.550166129,0.209425162,55,92.41346154,24.22836538,96,100,(<class '__main__.FineGrainedBucket'> : 11.034035388297262) (<class '__main__.FineGrainedBucket'> : 6.848026380465491) (<class '__main__.FineGrainedBucket'> : 18.72028249549393) (<class '__main__.FineGrainedBucket'> : 17.254703920054208) (<class '__main__.FineGrainedBucket'> : 1.2032410881807614) (<class '__main__.FineGrainedBucket'> : 1.2284259186278201) (<class '__main__.FineGrainedBucket'> : 2.1309254088801164) (<class '__main__.FineGrainedBucket'> : 6.445247532157474) (<class '__main__.FineGrainedBucket'> : 4.847293150747595) (<class '__main__.FineGrainedBucket'> : 1.761303919898989) (<class '__main__.FineGrainedBucket'> : 3.505929858737386) (<class '__main__.FineGrainedBucket'> : 0.9255382121889066) (<class '__main__.CoarseGrainedDistinctBucket'> : 1.9988322945086219) (<class '__main__.CoarseGrainedBloomBucket'> : 0.8602133825240061) (<class '__main__.FineGrainedBucket'> : 0.8609646086824131) (<class '__main__.CoarseGrainedDistinctBucket'> : 0.9992977361954728) 
